citing_ref,non_segment_ref,num_segments,num_dicta_candidates,candidate_ref,citation_is_section_level,dicta_score,phrase_distance,candidate_text_words,confirm_method,confirmed,opus_confirmed,opus_reason
"Introductions to Amoraic Literature, Part I (Introductions to Tractates of the Babli), Beitzah 164",Mishnah Maaser Sheni,57,1,Mishnah Maaser Sheni 4:12,False,4.0,97,24,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMAmTZF6vYwGgFp5ke'}"
Steinsaltz on Proverbs 1:1,Proverbs,915,1,Proverbs 1:1,False,5.0,18,5,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMAy7npvi2v9YkuPYY'}"
"Mizrachi, Exodus 30:12:1",Vayikra Rabbah,330,44,Vayikra Rabbah 15:9,False,4.0,1,139,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMAaYwD727UjPaMm1w'}"
"Torah Temimah on Torah, Numbers 5:23:1",Sotah 17b,6,1,Sotah 17b:3,True,5.0,150,41,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMBDFaw2cQrPpMapFi'}"
"Rosh David, Vayera 2",Psalms 29,11,1,Psalms 29:1,True,4.0,24,10,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMB5ZfSV1LMBzd6VCw'}"
"Chokhmat Shlomo on Shulchan Arukh, Orach Chayim 649:1",Ketubot 99,32,6,Ketubot 99a:8,True,9.0,115,26,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMBS9NsTquifEgmvyt'}"
"Chokhmat Shlomo on Shulchan Arukh, Orach Chayim 649:1",Ketubot,3038,11,Ketubot 99a:8,False,9.0,271,26,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMBS9JX5VSsXaFk9ma'}"
"Ma'avar Yabbok, Minchat Aharon 8:1",Pesachim 65b:10-73b:16,254,1,Pesachim 65b:10,False,2.8,435,38,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMBy9FD9uNU1P9gQAa'}"
"Ma'avar Yabbok, Minchat Aharon 8:1",Jerusalem Talmud Maasrot,186,2,Jerusalem Talmud Maasrot 3:1:2,False,5.0,445,107,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMC8ZS7VbaFidTDbeY'}"
Shita Mekubbetzet on Nazir 58b:5,Chullin 138b:3-142a:10,145,4,Chullin 141a:8,False,4.0,322,33,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMCRBHci6ufoDsRZXR'}"
"Bach, Yoreh De'ah 294:9:1",Arakhin 27a:7-29a:24,87,1,Arakhin 29a:12,False,8.0,126,18,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMCbM83wMdYoHCCUgp'}"
"I Believe; A Weekly Reading of the Jewish Bible, Nitzavim; Why Be Jewish? 2",Deuteronomy,956,6,Deuteronomy 5:3,False,1.3,13,14,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMCiXzLpLhXkB4CsEi'}"
"Torah Temimah on Torah, Leviticus 21:15:4",Kiddushin 77b,19,4,Kiddushin 77b:16,True,4.0,30,45,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMCmG7jhS17jUNLbLP'}"
Meiri on Nazir 20a:6,Nazir 2a:1-8b:12,172,2,Nazir 5b:4,False,4.0,27,18,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMCvw88ZjFLz2RqQ6e'}"
Notes by Rabbi Yehoshua Hartman on Derush al HaTorah 10:71,Makkot 17b,12,1,Makkot 17b:10,True,2.2,58,17,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMCyR5AzxuWxovrS4t'}"
Steinsaltz on Keritot 14b:16,Keritot 20b:7-23b:11,125,3,Keritot 21b:11,False,4.0,1,35,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMCsTnwbCJBNtCdVvW'}"
Meiri on Gittin 80a:2,Sotah 18b,19,1,Sotah 18b:6,True,5.0,22,16,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMDD3orEiA6rztDYnD'}"
Mishnat Eretz Yisrael on Mishnah Chagigah 2:2:13,Chagigah 11b:6-20b:6,272,3,Chagigah 16a:18,False,4.0,220,55,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMDB4yDbd6zRhNVaQJ'}"
"Otzar Midrashim, Chuppah of Eliyahu, Chuppat Eliyahu Rabbah 200",Pesachim 112a,14,1,Pesachim 112a:9,True,6.0,73,24,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMDcN16JvsVH5iB2oU'}"
Sefer Yereim 104:2,Arakhin 27a:7-29a:24,87,5,Arakhin 29a:2,False,4.0,23,31,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMDadRxo2S9xmD4GiL'}"
"Beit Yosef, Orach Chayim 201:6:1",Megillah 28a,25,1,Megillah 28a:4,True,5.0,30,33,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMCjmtu4vyJwuV2KAV'}"
"Divrei Emet, Divrei Emet on Torah, A Collection on Sciptures 5",Numbers 16:1-18:32,95,3,Numbers 17:8,False,1.4,16,7,llm,no,no,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': '`temperature` is deprecated for this model.'}, 'request_id': 'req_011CafHMED5hkjEGi6uZhEiS'}"
